id,公司名稱,縣市,行政區,里別,行政區平日夜間停留人數,行政區平日日間活動人數,行政區假日夜間停留人數,行政區假日日間活動人數,里人均收入中位數,里人口數,發票張數指標,發票銷售額指標,500公尺內的熱鬧據點數,最近的熱鬧據點類型,最近的熱鬧據點距離,500公尺內部競爭(同公司店數),500公尺外部競爭(不同公司店數),租金,競爭壓力指標,生存難度,競爭優勢,是否便利商店,people_per_store,day_night_flow,登記現況
1747,全家便利商店股份有限公司,新北市,汐止區,白雲里,246217,216959,245608,227518,536,4974,31.5,34.5,1.0,學校,433.42638416229073,1.0,8.0,23238.0,0.0016080402010050252,185904.0,0.1111111111111111,1,497.4,0.881166283537353,營運中
6778,統一超商股份有限公司,臺北市,松山區,吉祥里,185022,265864,181661,204187,702,7413,96.5,96.0,5.0,醫院,190.12685386885835,22.0,33.0,68966.0,0.004451038575667656,2275878.0,0.6470588235294118,1,132.375,1.4369240580900753,營運中
6446,來來超商股份有限公司,臺北市,北投區,長安里,231633,233324,227647,226700,555,5871,67.0,69.5,5.0,學校,275.69672195534366,1.0,12.0,16969.0,0.0020435967302452314,203628.0,0.07692307692307693,1,419.35714285714283,1.0072959928162533,廢止
6160,統一超商股份有限公司,臺北市,內湖區,湖元里,268313,365903,262226,278057,590,6621,99.0,99.0,0.0,學校,528.8655804821108,4.0,9.0,134894.0,0.001359106010268801,1214046.0,0.4,1,472.92857142857144,1.3637119196165686,營運中
7529,全家便利商店股份有限公司,臺北市,萬華區,和德里,196850,169804,196291,185594,472,5479,69.0,79.0,4.0,學校,146.89876553142432,8.0,19.0,17767.0,0.003467153284671533,337573.0,0.4,1,195.67857142857142,0.8626016631868774,廢止
4689,台灣屈臣氏個人用品商店股份有限公司,臺北市,大同區,建泰里,121355,140077,120837,128687,665,3582,91.5,95.0,4.0,學校,86.04409565590468,6.0,51.0,99505.0,0.014233882221602009,5074755.0,0.11538461538461539,0,61.758620689655174,1.1542651372820463,營運中
2380,統一超商股份有限公司,新北市,板橋區,莒光里,571963,464101,570948,541426,574,2681,81.0,84.5,2.0,捷運站,218.77788849162047,15.0,49.0,30494.0,0.018269947800149143,1494206.0,0.3,1,41.246153846153845,0.8114164527837416,營運中
5982,全家便利商店股份有限公司,臺北市,內湖區,葫洲里,268313,365903,262226,278057,816,7161,94.0,95.5,6.0,學校,173.61782649260354,1.0,23.0,35655.0,0.0032113934655124267,820065.0,0.041666666666666664,1,286.44,1.3637119196165686,營運中
6439,全家便利商店股份有限公司,臺北市,北投區,大同里,231633,233324,227647,226700,616,5610,92.5,91.0,4.0,捷運站,198.18131305492065,5.0,9.0,34329.0,0.0016039921582605597,308961.0,0.5,1,374.0,1.0072959928162533,廢止
6865,統一超商股份有限公司,臺北市,松山區,鵬程里,185022,265864,181661,204187,643,4501,63.0,59.0,5.0,學校,64.89702814252759,12.0,25.0,66142.0,0.005553087516659262,1653550.0,0.46153846153846156,1,118.44736842105263,1.4369240580900753,營運中
1641,統一超商股份有限公司,新北市,永和區,下溪里,225926,165003,225638,209626,657,4578,34.5,42.0,2.0,學校,322.80443061980674,6.0,7.0,30274.0,0.0015287180607119458,211918.0,0.75,1,327.0,0.7303376754438381,廢止
